player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Hovland, Viktor",18841,pga,pga,pga-the players championship-T13_pga-valspar championship-CUT_major-masters tournament-T18_pga-rbc heritage-T42_pga-cadillac championship-T38,1.44,0.02
"Koivun, Jackson",32319,am,-,am-the hayt-1_am-valspar collegiate invitational                   -T10_am-mason rudolph championship-1_am-ford collegiate     -1_am-2026 sec men's golf championship stroke play-1,1.43,-0.06
"Straka, Sepp",17511,pga,pga,pga-the players championship-T8_pga-valero texas open-CUT_major-masters tournament-T41_pga-rbc heritage-T42_pga-cadillac championship-T4,1.42,0.18
"Spaun, J.J.",17536,pga,pga,pga-valspar championship-CUT_pga-valero texas open-1_major-masters tournament-CUT_pga-rbc heritage-T25_pga-cadillac championship-T14,1.39,-0.09
"Jarvis, Casey",26947,euro,opp,euro-investec south african open championship-1_euro-joburg open-T2_euro-hero indian open-T13_major-masters tournament-CUT_pga-zurich classic of new orleans-T20,1.38,1.5
"Gotterup, Chris",27774,pga,pga,pga-the players championship-T56_pga-texas children's houston open-T6_major-masters tournament-T24_pga-rbc heritage-T25_pga-cadillac championship-T38,1.37,-0.05
"Fowler, Rickie",12965,pga,pga,pga-the players championship-T42_pga-texas children's houston open-CUT_pga-valero texas open-CUT_pga-rbc heritage-T8_pga-cadillac championship-T9,1.32,-0.14
"Detry, Thomas",14181,liv,alt,liv-adelaide-31_liv-hong kong-2_liv-singapore-T15_liv-south africa-T3_liv-mexico city-T5,1.32,0.73
"Day, Jason",9771,pga,pga,pga-the players championship-T59_pga-texas children's houston open-T6_major-masters tournament-T12_pga-rbc heritage-T42_pga-cadillac championship-T38,1.32,0.24
"Harman, Brian",8825,pga,pga,pga-the players championship-T11_pga-valero texas open-T39_major-masters tournament-T33_pga-rbc heritage-T25_pga-cadillac championship-T38,1.27,0.76
"Griffin, Ben",24968,pga,pga,pga-texas children's houston open-T28_major-masters tournament-T33_pga-rbc heritage-T33_pga-zurich classic of new orleans-T10_pga-cadillac championship-3,1.23,-0.37
"Matsuyama, Hideki",13562,pga,pga,pga-arnold palmer invitational presented by mastercard-T41_pga-the players championship-T27_pga-valero texas open-T21_major-masters tournament-T12_pga-cadillac championship-T53,1.23,-0.18
"Lee, Min Woo",16841,pga,pga,pga-the players championship-T32_pga-texas children's houston open-T3_major-masters tournament-CUT_pga-rbc heritage-T60_pga-cadillac championship-T18,1.2,0.27
"Koepka, Brooks",16243,pga,opp,pga-the players championship-T13_pga-valspar championship-T18_pga-texas children's houston open-CUT_major-masters tournament-T12_pga-zurich classic of new orleans-CUT,1.19,1.1
"McCarty, Matt",28635,pga,pga,pga-valero texas open-T39_major-masters tournament-T24_pga-rbc heritage-T12_pga-zurich classic of new orleans-T10_pga-cadillac championship-T9,1.19,0.38
"Stevens, Sam",25569,pga,pga,pga-texas children's houston open-5_major-masters tournament-T24_pga-rbc heritage-T65_pga-zurich classic of new orleans-T13_pga-cadillac championship-T18,1.18,0.37
"Noren, Alex",10419,pga,pga,pga-the players championship-T32_pga-valero texas open-T30_major-masters tournament-T30_pga-rbc heritage-T65_pga-cadillac championship-T7,1.17,-0.09
"Bridgeman, Jacob",29433,pga,pga,pga-the players championship-T5_pga-valspar championship-T14_major-masters tournament-T41_pga-rbc heritage-T33_pga-cadillac championship-T65,1.16,0.29
"Spieth, Jordan",14636,pga,pga,pga-valspar championship-T11_pga-valero texas open-T63_major-masters tournament-T12_pga-rbc heritage-T33_pga-cadillac championship-T18,1.16,-0.02
"Hojgaard, Nicolai",23602,pga,pga,pga-valspar championship-T55_pga-texas children's houston open-2_major-masters tournament-CUT_pga-rbc heritage-T55_pga-cadillac championship-T23,1.16,0.12
"Du Plessis, Hennie",19421,euro,euro,euro-qatar masters-T15_euro-magical kenya open presented by absa-3_euro-investec south african open championship-T2_euro-joburg open-4_euro-turkish airlines open-CUT,1.12,0.45
"Putnam, Andrew",14704,pga,pga,pga-texas children's houston open-T44_pga-valero texas open-T5_pga-rbc heritage-T42_pga-zurich classic of new orleans-CUT_pga-cadillac championship-T18,1.1,0.73
"Burmester, Dean",14424,liv,alt,euro-investec south african open championship-T20_liv-hong kong-7_liv-singapore-T10_liv-south africa-T6_liv-mexico city-T15,1.09,0.91
"Conners, Corey",17576,pga,pga,pga-the players championship-T13_pga-valspar championship-T14_major-masters tournament-T49_pga-rbc heritage-T55_pga-cadillac championship-T30,1.01,0.14
"Bradley, Keegan",13872,pga,pga,pga-the players championship-T50_pga-valspar championship-T55_major-masters tournament-T21_pga-rbc heritage-T12_pga-cadillac championship-T49,1.01,-0.18
