player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Lindberg, Mikael",10,1,0.009000000000000001,0,37,16,-0.19360999999999998,-0.10071875,0.036759374999999976,1.0770375,1.013078125,0.33014999999999994
"Hojgaard, Rasmus",9,0,0,0,32,27,0.5250751851851851,-0.39430111111111116,0.2888833333333333,0.24163333333333337,0.1362155555555556,0.3275390625
"Zalatoris, Will",5,0,0.001,0,16,13,-0.5257730769230768,0.05689538461538462,0.5422315384615385,0.23024769230769232,0.8293746153846153,0.32089875000000007
"Pieters, Thomas",6,0,0.003,0,24,24,-0.10014333333333332,-0.0006358333333333401,0.23777166666666663,0.18060541666666666,0.41774124999999995,0.31760041666666666
"Scott, Sandy",8,0,0.022,0,32,0,-9999,-9999,-9999,-9999,-9999,0.30701937500000004
"Ewart, A.J.",11,0,0.001,0,38,31,0.4052664516129032,0.052374193548387106,-0.16485516129032257,-0.09406645161290321,-0.2065474193548387,0.3066542105263158
"Kim, S.H.",12,0,0.003,0,42,27,0.38630037037037035,0.14194074074074073,-0.4946096296296296,0.18632629629629632,-0.16634259259259257,0.30632952380952383
"Johnson, Dustin",8,0,0,0,30,30,0.5761056666666666,0.2962753333333333,-0.5730936666666666,0.006864333333333353,-0.26995399999999997,0.30615333333333333
"Brown, Blades",12,0,0.062,0,42,12,0.137225,-0.21285333333333334,-0.11938333333333333,-0.22660249999999996,-0.5588391666666666,0.3034445238095238
"Poston, J.T.",10,0,0,0,34,32,-0.09507531250000001,-0.1501975,0.17950531249999999,0.24300812500000002,0.27231593750000005,0.29883235294117644
"Herbert, Lucas",9,0,0.005,0,34,24,-0.29899583333333335,0.09033208333333335,0.1269366666666667,0.2743245833333333,0.4915933333333334,0.2874288235294118
"McCarthy, Denny",12,0,0.002,0,42,39,0.42494512820512814,0.055131282051282045,0.08910384615384616,-0.24180512820512817,-0.09756999999999999,0.2826835714285714
"Novak, Andrew",13,0,0.03,0,45,42,-0.3085145238095238,0.18236809523809525,0.2296964285714286,0.09863880952380952,0.5107033333333334,0.27213
"Docherty, Alistair",8,1,0.055,0,26,0,-9999,-9999,-9999,-9999,-9999,0.27033307692307695
"Bradbury, Dan",12,1,0.401,0,39,20,0.04631250000000001,-0.190549,0.4791265,0.46464550000000004,0.7532230000000001,0.2693987179487179
"Harman, Brian",11,0,0.039,0,41,39,-0.09704641025641027,0.2919782051282051,0.23285487179487177,-0.16319692307692307,0.3616361538461538,0.263599756097561
"Brennan, Michael",12,0,0,0,39,32,-0.336689375,-0.440045625,0.20359781249999997,0.8259915624999999,0.58954375,0.2568605128205128
"Eckroat, Austin",10,0,0.001,0,33,26,-0.10050153846153843,-0.2381842307692308,0.4182873076923077,0.0961646153846154,0.2762676923076923,0.25084181818181817
"Pavon, Matthieu",11,0,0.001,0,38,31,0.7191351612903225,-0.007039354838709673,-0.5403029032258065,0.015468064516129032,-0.5318741935483872,0.2503423684210527
"Hodges, Lee",9,0,0.003,0,31,28,0.09617607142857139,-0.2722364285714286,0.24093535714285713,0.2638314285714286,0.23253035714285708,0.24975806451612903
"Ford, David",9,0,0.003,0,30,23,-0.028721304347826087,-0.23122739130434783,0.11665521739130434,0.380525652173913,0.2659534782608695,0.23437999999999998
"Thomas, Justin",6,0,0.092,0,22,22,-0.43450000000000005,0.42838045454545454,0.10273090909090911,0.13454999999999995,0.6656613636363635,0.23116272727272727
"James, Ben",6,0,0,0,18,0,-9999,-9999,-9999,-9999,-9999,0.23043111111111111
"Carr, Ben",5,0,0.001,0,18,0,-9999,-9999,-9999,-9999,-9999,0.22906777777777781
"Russell, Miles",7,1,0.002,0,24,0,-9999,-9999,-9999,-9999,-9999,0.22091583333333334
"Lipsky, David",9,0,0.037000000000000005,0,32,25,0.09868360000000001,0.23066960000000003,0.04961639999999998,-0.1601564,0.1201296,0.21077000000000004
"Ding, Wenyi",11,0,0.001,0,40,12,0.06888749999999999,0.12509166666666668,-0.1563083333333333,-0.059673333333333335,-0.09088999999999994,0.20579699999999995
"Dahmen, Joel",10,0,0.03,0,30,27,-0.31934444444444443,-0.37489259259259256,0.20557407407407405,0.32444370370370373,0.15512518518518525,0.18903999999999996
"Kim, Tom",10,0,0,0,36,33,-0.31411393939393945,0.26581272727272726,0.2101421212121212,-0.09227878787878786,0.3836760606060606,0.17779527777777776
"Fernandez Valdes, Jorge",10,0,0,0,38,0,-9999,-9999,-9999,-9999,-9999,0.1745778947368421
"Blair, Zac",9,0,0,0,32,8,-0.205655,-0.31822624999999993,0.59529,-0.74703625,-0.4699724999999999,0.16903531250000003
"Hammer, Cole",8,0,0.002,0,26,2,-1.818305,0.046715000000000007,2.4912,-1.01858,1.519335,0.16435076923076924
"Ventura, Kris",8,0,0,0,21,16,0.36593625,-0.5023412500000001,-0.20130749999999997,0.47161375,-0.23203500000000005,0.1628914285714286
"Kimsey, Nathan",13,0,0,0,43,12,-0.012259999999999967,-0.05467333333333333,0.21447166666666662,0.6061941666666667,0.7659925,0.16151162790697676
"Power, Seamus",10,0,0.005,0,34,29,0.15337620689655176,0.31130482758620687,-0.25507586206896554,-0.05366310344827586,0.0025658620689654743,0.15785411764705878
"Smith, Cameron",9,0,0.009,0,32,26,0.6260219230769231,0.7712707692307692,-0.7936069230769232,-0.5679711538461538,-0.5903073076923078,0.15506374999999997
"Dou, Zecheng",11,0,0.005,0,36,29,-0.025767241379310333,0.3471793103448276,0.6174179310344827,-0.45078241379310346,0.5138148275862069,0.14109916666666666
"Andersen, Mason",9,0,0,0,32,0,-9999,-9999,-9999,-9999,-9999,0.13746281249999998
"Couvra, Martin",12,0,0,0,43,26,0.2851592307692308,-0.06822884615384614,-0.5518976923076924,0.26686807692307696,-0.3532584615384615,0.13483348837209302
"Elvira Mijares, Ignacio",10,1,0.023,0,31,20,0.5547880000000001,0.1899725,-0.014708999999999995,-0.014161000000000002,0.16110249999999998,0.13273354838709675
"Ryder, Sam",8,0,0,0,26,21,0.6671228571428571,-0.33841666666666664,0.44184285714285715,-0.18052809523809524,-0.07710190476190476,0.11603153846153849
"Gooch, Talor",6,0,0,0,24,24,0.13896083333333337,0.14737208333333335,-0.08805125000000001,-0.08901583333333335,-0.029695000000000027,0.10926708333333329
"Rozner, Antoine",11,0,0,0,37,20,-0.09532349999999999,0.07122250000000001,0.337477,-0.3716435,0.03705600000000002,0.10742648648648646
"Hill, Calum",11,0,0.02,0,37,18,1.0336538888888889,-0.05398777777777778,-0.14798555555555554,-0.5316972222222222,-0.7336705555555554,0.10608081081081082
"Ghim, Doug",9,0,0,0,31,24,-0.26278583333333333,0.2702970833333333,-0.03311625000000001,0.33884791666666664,0.5760287499999999,0.10405483870967744
"Campillo, Jorge",12,0,0.012,0,39,16,0.14721062499999998,-0.32047,0.504794375,-0.159194375,0.02513000000000004,0.10298128205128201
"Fisk, Steven",10,0,0.001,0,33,30,0.21957466666666664,0.07185933333333332,-0.07569366666666667,-0.13442666666666667,-0.13826100000000002,0.10079303030303027
"Vilips, Karl",11,0,0.001,0,34,29,0.6948320689655173,-0.24711862068965515,0.15537275862068964,-0.43246620689655174,-0.5242120689655173,0.09944441176470586
"Mouw, William",10,0,0.003,0,33,30,-0.08617333333333334,-0.23761633333333335,0.17742033333333335,0.22524266666666665,0.16504666666666665,0.09455030303030301
"Griffin, Lanto",7,0,0,0,19,10,0.432584,0.196201,-0.593415,0.046827999999999995,-0.3503860000000001,0.08828421052631577
"Gandon, Jeremy",9,1,0.015,0,32,0,-9999,-9999,-9999,-9999,-9999,0.08596375000000005
"Pendrith, Taylor",12,0,0.003,0,39,36,-0.4740086111111111,-0.013156111111111122,0.0941225,0.5421883333333333,0.6231547222222221,0.08008179487179487
"Johnson, Zach",8,1,0,0,26,8,0.7917225000000001,0.1716825,-0.65306625,-0.40805250000000004,-0.8894362499999999,0.07931076923076923
"Uihlein, Peter",7,0,0.003,0,28,24,0.5064316666666667,0.26262083333333336,0.39438124999999996,-1.01250125,-0.35549916666666664,0.07897464285714283
"Hughes, Mackenzie",10,0,0,0,31,28,0.3993275,0.23254678571428572,-0.2571175,-0.14312821428571426,-0.16769892857142854,0.07652806451612905
"Rai, Aaron",8,0,0,0,28,28,-0.5215189285714286,0.18589285714285714,0.34465428571428575,0.06711285714285715,0.5976600000000001,0.07613892857142857
"Ponder, Thomas",3,0,0,0,12,0,-9999,-9999,-9999,-9999,-9999,0.07594250000000001
"Howell III, Charles",6,0,0,0,24,24,0.4049829166666667,0.19728916666666665,-0.6438645833333333,0.10919041666666666,-0.33738500000000005,0.06760041666666665
"Wolff, Matthew",6,0,0.001,0,24,24,0.1792016666666667,-0.3810366666666667,-0.05142333333333334,0.32085749999999996,-0.11160250000000005,0.06760041666666665
"Bramlett, Joseph",9,0,0.003,0,32,0,-9999,-9999,-9999,-9999,-9999,0.06003625000000007
"Kinoshita, Ryosuke",6,0,0,0,23,0,-9999,-9999,-9999,-9999,-9999,0.057748260869565166
"Semikawa, Taiga",3,0,0,0,12,0,-9999,-9999,-9999,-9999,-9999,0.0520066666666667
"Sherwood, Cole",9,0,0,0,34,0,-9999,-9999,-9999,-9999,-9999,0.044133823529411725
